filename,class,xmin,ymin,xmax,ymax,trackid
Pipstrel-Virus_Bodensee_2018-02-13_16-02-03.jpg,nature,217,2443,252,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-03.jpg,nature,156,2442,191,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-03.jpg,nature,2452,2018,2490,2056,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-04.jpg,nature,2627,1752,2666,1792,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-04.jpg,nature,104,575,139,610,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-04.jpg,nature,599,488,634,523,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-05.jpg,nature,93,2444,128,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-05.jpg,nature,2689,1523,2728,1562,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-06.jpg,nature,347,2444,382,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-06.jpg,nature,2644,1282,2684,1322,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-08.jpg,nature,3031,926,3072,967,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-08.jpg,nature,75,740,121,784,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-09.jpg,nature,3257,2282,3280,2336,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-09.jpg,nature,3178,645,3221,687,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-09.jpg,nature,141,507,179,549,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-09.jpg,nature,207,456,242,491,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-09.jpg,nature,126,409,179,494,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-11.jpg,nature,187,880,222,915,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-11.jpg,nature,285,360,320,395,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-11.jpg,nature,3121,357,3161,399,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-13.jpg,nature,100,2444,136,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-13.jpg,nature,232,365,267,400,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-13.jpg,nature,57,342,102,386,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-13.jpg,nature,201,304,253,360,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-13.jpg,nature,1207,186,1242,221,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-14.jpg,nature,3119,2269,3155,2305,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-14.jpg,nature,3259,2242,3280,2280,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-15.jpg,nature,275,1706,311,1743,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-16.jpg,nature,3041,305,3076,340,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-16.jpg,nature,3258,235,3280,270,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-17.jpg,nature,193,2441,229,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-19.jpg,nature,97,1621,132,1656,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-19.jpg,nature,3260,285,3280,320,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-19.jpg,nature,3062,142,3097,177,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-19.jpg,nature,3260,83,3280,118,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-21.jpg,nature,3259,521,3280,562,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-21.jpg,nature,3063,101,3098,136,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-22.jpg,nature,2844,2444,2880,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-22.jpg,nature,3121,2017,3160,2054,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-24.jpg,nature,57,2445,92,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-24.jpg,nature,3259,2443,3280,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-24.jpg,nature,828,2329,863,2364,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-24.jpg,nature,566,965,601,1000,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-25.jpg,nature,3103,2437,3143,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-25.jpg,nature,643,1156,678,1191,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-25.jpg,nature,680,936,715,972,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-25.jpg,nature,3257,399,3280,434,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-26.jpg,nature,3108,2444,3143,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-26.jpg,nature,433,2020,468,2055,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-26.jpg,nature,197,1665,232,1700,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-26.jpg,nature,2773,673,2810,709,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-27.jpg,nature,1038,2331,1079,2369,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-27.jpg,nature,1107,2317,1144,2352,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-27.jpg,nature,193,480,229,516,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-27.jpg,nature,144,382,179,417,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,243,2430,278,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,93,2329,135,2375,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,1142,2296,1196,2361,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,1364,2273,1416,2334,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,1222,2273,1293,2360,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,3257,2268,3280,2305,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,1090,2262,1138,2329,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,926,2231,964,2268,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,1327,2196,1362,2231,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,3259,1063,3280,1098,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,326,331,361,366,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,253,314,288,349,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-28.jpg,nature,260,210,295,245,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-30.jpg,nature,332,2444,367,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-30.jpg,nature,3157,2443,3199,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-30.jpg,nature,3258,2298,3280,2333,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-30.jpg,nature,1350,2100,1400,2138,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-31.jpg,nature,1798,1507,1854,1564,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-31.jpg,nature,765,1065,800,1100,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,2878,2342,3089,2386,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1292,2334,1327,2369,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,175,2308,210,2343,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1180,2259,1215,2294,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1302,2204,1338,2239,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1870,1583,1905,1618,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1814,1532,1868,1595,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1875,1526,1914,1566,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1515,1519,1550,1554,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1468,1481,1503,1516,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1402,1479,1455,1550,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1865,1464,1900,1499,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1468,1442,1507,1478,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1485,1396,1521,1437,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1777,1381,1864,1531,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,1839,1351,1874,1386,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,846,826,887,862,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,477,376,512,411,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-32.jpg,nature,414,298,449,333,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1751,2369,1787,2404,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1203,2239,1265,2301,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1124,2226,1160,2262,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1233,2148,1299,2223,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1282,2103,1317,2139,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1198,2095,1274,2139,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1846,1328,1881,1364,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1637,1302,1672,1337,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1715,1244,1763,1280,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1633,1236,1668,1271,-1
Pipstrel-Virus_Bodensee_2018-02-13_16-02-33.jpg,nature,1583,1112,1618,1147,-1
